Epoch 1/50 | Train Loss: 1.4749 | Train Acc: 0.5359 | Test Acc: 0.7725
Epoch 2/50 | Train Loss: 0.9246 | Train Acc: 0.7975 | Test Acc: 0.8732
Epoch 3/50 | Train Loss: 0.7393 | Train Acc: 0.8948 | Test Acc: 0.9452
Epoch 4/50 | Train Loss: 0.6702 | Train Acc: 0.9377 | Test Acc: 0.9235
Epoch 5/50 | Train Loss: 0.6410 | Train Acc: 0.9472 | Test Acc: 0.9516
Epoch 6/50 | Train Loss: 0.5970 | Train Acc: 0.9551 | Test Acc: 0.9630
Epoch 7/50 | Train Loss: 0.5635 | Train Acc: 0.9792 | Test Acc: 0.9860
Epoch 8/50 | Train Loss: 0.5826 | Train Acc: 0.9700 | Test Acc: 0.9688
Epoch 9/50 | Train Loss: 0.5749 | Train Acc: 0.9820 | Test Acc: 0.9802
Epoch 10/50 | Train Loss: 0.5395 | Train Acc: 0.9865 | Test Acc: 0.9923
Epoch 11/50 | Train Loss: 0.5081 | Train Acc: 0.9911 | Test Acc: 0.9745
Epoch 12/50 | Train Loss: 0.5362 | Train Acc: 0.9733 | Test Acc: 0.9955
Epoch 13/50 | Train Loss: 0.5142 | Train Acc: 0.9845 | Test Acc: 0.9911
Epoch 14/50 | Train Loss: 0.5434 | Train Acc: 0.9921 | Test Acc: 0.9949
Epoch 15/50 | Train Loss: 0.5472 | Train Acc: 0.9842 | Test Acc: 0.9751
Epoch 16/50 | Train Loss: 0.5123 | Train Acc: 0.9890 | Test Acc: 0.9943
Epoch 17/50 | Train Loss: 0.4886 | Train Acc: 0.9953 | Test Acc: 0.9847
Epoch 18/50 | Train Loss: 0.4917 | Train Acc: 0.9897 | Test Acc: 0.9949
Epoch 19/50 | Train Loss: 0.4900 | Train Acc: 0.9940 | Test Acc: 0.9949
Epoch 20/50 | Train Loss: 0.5084 | Train Acc: 0.9944 | Test Acc: 0.9828
Epoch 21/50 | Train Loss: 0.5194 | Train Acc: 0.9942 | Test Acc: 0.9987
Epoch 22/50 | Train Loss: 0.5131 | Train Acc: 0.9945 | Test Acc: 0.9904
Epoch 23/50 | Train Loss: 0.5007 | Train Acc: 0.9940 | Test Acc: 0.9943
Epoch 24/50 | Train Loss: 0.5172 | Train Acc: 0.9815 | Test Acc: 0.9885
Epoch 25/50 | Train Loss: 0.4774 | Train Acc: 0.9968 | Test Acc: 0.9936
Epoch 26/50 | Train Loss: 0.4682 | Train Acc: 0.9963 | Test Acc: 0.9962
Epoch 27/50 | Train Loss: 0.4782 | Train Acc: 0.9899 | Test Acc: 0.9917
Epoch 28/50 | Train Loss: 0.4592 | Train Acc: 0.9937 | Test Acc: 0.9968
Epoch 29/50 | Train Loss: 0.4556 | Train Acc: 0.9971 | Test Acc: 0.9955
Epoch 30/50 | Train Loss: 0.4557 | Train Acc: 0.9937 | Test Acc: 0.9968
Epoch 31/50 | Train Loss: 0.4427 | Train Acc: 0.9947 | Test Acc: 0.9981
Epoch 32/50 | Train Loss: 0.4376 | Train Acc: 0.9982 | Test Acc: 0.9981
Epoch 33/50 | Train Loss: 0.4473 | Train Acc: 0.9955 | Test Acc: 0.9923
Epoch 34/50 | Train Loss: 0.5155 | Train Acc: 0.9737 | Test Acc: 0.9911
Epoch 35/50 | Train Loss: 0.4412 | Train Acc: 0.9950 | Test Acc: 0.9987
Epoch 36/50 | Train Loss: 0.4443 | Train Acc: 0.9987 | Test Acc: 0.9981
Epoch 37/50 | Train Loss: 0.4443 | Train Acc: 0.9989 | Test Acc: 0.9930
Epoch 38/50 | Train Loss: 0.4422 | Train Acc: 0.9971 | Test Acc: 0.9943
Epoch 39/50 | Train Loss: 0.4342 | Train Acc: 0.9963 | Test Acc: 0.9962
Epoch 40/50 | Train Loss: 0.4274 | Train Acc: 0.9981 | Test Acc: 0.9968
Epoch 41/50 | Train Loss: 0.4247 | Train Acc: 0.9984 | Test Acc: 0.9955
Epoch 42/50 | Train Loss: 0.4529 | Train Acc: 0.9910 | Test Acc: 0.9847
Epoch 43/50 | Train Loss: 0.4297 | Train Acc: 0.9973 | Test Acc: 0.9974
Epoch 44/50 | Train Loss: 0.4307 | Train Acc: 0.9981 | Test Acc: 0.9981
Epoch 45/50 | Train Loss: 0.4414 | Train Acc: 0.9944 | Test Acc: 0.9930
Epoch 46/50 | Train Loss: 0.4277 | Train Acc: 0.9940 | Test Acc: 0.9962
Epoch 47/50 | Train Loss: 0.4130 | Train Acc: 0.9958 | Test Acc: 0.9974
Epoch 48/50 | Train Loss: 0.4114 | Train Acc: 0.9979 | Test Acc: 0.9968
Epoch 49/50 | Train Loss: 0.4153 | Train Acc: 0.9987 | Test Acc: 0.9974
Epoch 50/50 | Train Loss: 0.4146 | Train Acc: 0.9986 | Test Acc: 0.9955
